Comments,Nostalgic
1.One of the many reasons I keep coming back to this video is it reminds me of time when it was great to be alive in our youth. Those truly were the best of times !!!,Yes
2.Best song ever made,No
3.quite possibly the grooviest chick i've ever seen in my entire life and i'm like 100+tax,No
4.If only had a timemachine get the hell out this era and go back to the one grewup in the 70's,Yes
"5.I wish I could time machine my head between those thighs, I'd love to date in the 70s",Yes
6.She reminds me of a classmate,No
7.Lucky to have lived in the 50s and 60s wouldn't trade the experience for anything!,Yes
"8.It was the best of times and the worst of times...... like Dickens says.  Things change, yet they remain the same. Peace out.",No
1.As a young boy my dad sung this to me before going to bed and it knocked me out every time. It always hold that memory close and this song close. Its pretty hard to hate to be honest.,Yes
"2.I played this to my 8 year old daughter yesterday, the first time she had heard it and half way through she turned to me and said ""Daddy that is so beautiful, thank you""",No
3.This song reminds me on my father,No
4.gives me good memories first love out on the streets,No
"5.My grade 8 music teacher made is memorize every Simon and Garfunkel song the whole year, and stand up to sing their songs in class.  It was basically a Simon and Garfunkel class lol.  Love them.",Yes
6.to me the greatest song in music history... :),No
7.One of the best songs ever written,No
8.I remember the Album included a Poster of Art and Paul's faces at the top of a mountain and the lyrics were written just below them.A friend of my older brother bought the Album and gave me the Poster as he heard I collected them.Human contact remember that,Yes
"9.such a beautiful song , that can touch any soul. Remind me of my siter Kathy Gorrien Morotzek,  it was her way. She died of Pancreatic cancer at 57. Beautiful soul, beautiful song",Yes
10.Love the song remind of my step Dad love u xxx,Yes
11.I remember hearing it for the first time.   It struck to my heart.   Have since listened and pledged the same for years and years.   We all need these kinds of souls in our lives and to be one ourselves.,Yes
"12.When I heard this song it reminds me of my friend... my best friend 
I always cried for no reason.",Yes
13.OMG. Grew up on this song. Me and Susie Sukup would listen to this album in her basement.  It had TONS of meaning!,Yes
"14.Not like the self indulgent messages many songs have today; this is a great tune, sure, but what makes it so memorable (I believe) is its absolute selflessness. There is nothing in it for the one singing the song. It's all about the other person.",Yes
"15.My dad sang this to me as a kid and taught it to me. He passed away this year. Although there are a plethora of songs that make me think of him, this is one of them I can't get through with dry eyes.",Yes
"16.Read the book Media Sexploitation by Wilson Bryan Key.  It is the most subliminal song ever made.  Notice the first time you heard it, it was okay, but the more you listened to it, you couldn't get it out of your mind.  Total subliminal.  You can feel it too, the way he sings it, the way it was made.",No
17.Listening to these guys is like the going back in time just for a glimpse of what life once was and remembering the good times !,Yes
"18.The first time I heard this song I was in the kitchen turning the radio dial very slowly hoping to hear Simon & Garfunkel's new single. I immediately recognized Art's voice and listened intently. I heard it over and over again, and then bought their album based on the single as soon as I could. I loved it. This song has retained its power and grace with its timeless spiritual message 48 years later. Paul Simon wrote a masterpiece, Art Garfunkel sang like an angel, (and they harmonize beautifully starting at 3:20), and Roy Halee did a phenomenal job producing it.",No
19.Sad how no one likes to listen to this kind of music these days the meaningful songs that mean something,No
20.this is a very sentimental song for me sounds like this will make people cry and I'm proud to say that I am one of them,Yes
1.I was 11 when I first heard this in 1970. It always reminds me of a wonderful childhood. People and places. Thank you.,Yes
2.I was only18 in 1970 .... I loved listening to this song then ... and I still love listening to it today ... what a great melodic song with beautiful words.,No
"3.It is true what they say, that we never truly forget anything that we've heard in this life.  I was three years old, and living in Jamaica, when this came out, but I'm shocked to 'recognise' the song and be able to sing the chorus!",Yes
"4.this song brings back happy , sad memories, such a beautiful voice",Yes
5.Loved this as a teen. Such a beautiful and romantic song sung by a pretty young girl.. It made me feel sorry for todays teens. They get the likes of Miley Cyrus singing badly while swinging naked on a demolition ball!,No
6.This was number one when I was born...very cool,Yes
"7.I have known this singer recently.Because I was born in 1970's(and I live in Japan).
Her voice is very sweet,lovely and beautiful.And she is so cute and charming.
I'm very glad to know the singer like her,and to know her singing until now.",No
"8.Dana is my all time childhood sweetheart, I've met her twice and she made me feel so welcome, watching this video brings goosebumps to my skin, I have footage of her singing theme from 'Brookside' 'If I Give My Heart To You' 'Are You Still Mad At Me' and others, but they are on video and not sure how to upload?  Love you Dana!",Yes
"1.WHEN MY FRIEND AND BOSS DIED FROM CANCER THIS WAS HER SONG AT HER 
FUNERAL BACK IN I BELIEVE ",Yes
2.One of the best songs ever made,No
3.This song just reminds me of 1960s space exploration,Yes
