Comments,Nostalgic
He was great why does everything need to be about black and white.  Maybe because he more class than black people and was t out shooting up the world,No
"truly you are the wonder of you, thanks elvis  today is you 40th anniversary 2017. again thank you for the wonderful memories.",Yes
"Oldies are my favorite. Timeless, classic, sweet, true. They remind me of good times. They were good times.",No
Love this era of music proper musicians,No
"as a rnb and hiphop lover from 90'still now, my hearts w these types of music",No
"I was so hooked on that song when I was a teenager in the 60's.. Wow, I still love that song",Yes
"This the music my mother plays, I was born in the 80s so she hates when I play lil Wayne or meek mill.",No
No doubt this song has had a hold on me since I first heard it so many years ago.  Smokey is simply one of the best songwriters out there.  Incredible.,No
loves this song so many great memories!,Yes
Brings back memories,Yes
this is me all day,No
Brings back memories.. This song rocks..,Yes
I always thought a young Michael Jackson sang this?,No
This song was playing in the background when I got my 1st kiss!,No
That hair...!  Anyone know wth she was talking about in her song?  Did she find out that hubby was Bi or something?!,No
"Wow, just wow!  I remember vividly, many years ago, when I just happened to be watching what I think was the Tonight Show with Johnny Carson - he introduced Freda to sing this song for her first national exposure.  It was jaw dropping for her appearance, this song, and her performance.  The song and Freda were like instant hits from that point.",Yes
I miss the 70's and this great song By Freda Payne!,Yes
dam its good to hear this it brings back memories of the 70s my sisters song patty she gone now,Yes
"I was only,8 when this great brilliant song came out. I'm soon to be 56 and it's still a great song today as it was way on back. Those was the songs and those was the days when we could listen understand and not do in our ears and mind with far to loud thump boom base blasting or rap crap. Those was the years when music was music. You see way on back many of the Great brilliant easy listen relax singers put a lot of Love and time into there songs. And we also do when we listen to what true singers sing.",Yes
I always thought this was a Michael Jackson song.,No
No i didnt even have that got cut off when he broke my arm,No
Beautiful girl beautiful song,Yes
This song reminds me of a lovely girl who ditched me back in 1970 boo hoo!,Yes
"I remember being 12 and sitting in a cedar cabin in the woods of mid-Michigan in the winter of '70/71.  The cabin had electricity, heat and running water.  Someone's radio was plugged in and this song was playing.  It was the hot song of that time.  It still reminds me of that cabin and the smell of the cedar and the fireplace and these older hippy guys teaching us younger hippy guys.",Yes
"Magical and their version is the definitive one. I met Ian Matthews 7 years ago at a small concert and he did this song and it melted me. He gave me big hugs too. It was a time when I was not let down by a respected musician and I had a few great experiences. ""Back to the Garden"" that line says it all the way he sings it. Simply a dreamy, beautiful, atmospheric sexy transformation. Wondrous.",Yes
I remember hearing this song as a child still love the 60s. This is a classic. .,Yes
"Still one of my favourite songs...Used to sing it as a lullaby to my little brothers, still know all the words - and I'm 60!",Yes
"Another British band, most people think these are Americans. Great stuff",No
"Of all the covers of this song, this is by far my favorite!",No
